"05-12-2025","Physical Inventory Report by Department","","Raleigh","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"Department","Class","Product Number","Product Description","Product Division","QOH Before","QOH After","Cost Before","Cost After","Count Variance","Cost Variance","QA","QOO","Zone","Shelf","Bin","Aisle","Reorder"
"Siding","Special Order","NSSO23695","Trim 11 Ez 2 Pc Vertical U","","200","200","7740.00","7740.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO23696","Trim Inside Corner 5/16 in - 3/4in","","20","20","451.00","451.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO23705","1-3/4X.090 15D EG RG SIDING 9M","","5","5","240.00","240.00","0","0","5","0","","","","","No"
"Siding","Special Order","NSSO23764","VersaPin 1-1/2x.100 Knurl Grip PT2000","","2","2","306.40","306.40","0","0","2","0","","","","","No"
"Siding","Special Order","NSSO23765","Vintage Wood - Spruce (AWP 1818) Macon Product 3800 Sq Ft. Includes","","211","211","21908.13","21908.13","0","0","211","0","","","","","No"
"Siding","Special Order","NSSO23766","50 LF/Tube - 5 Pcs/Tube - Custom Color Window Jambs, Sills, Brick Transitions","","57","57","16356.72","16356.72","0","0","57","0","","","","","No"
"Siding","Special Order","NSSO23767","100 LF/Box - 10 Pcs/Box","","7","7","1203.16","1203.16","0","0","7","0","","","","","No"
"Siding","Special Order","NSSO23768","65 LF/Box - 10 Pcs/Box Nichiha to Nichiha Inside Corner Trim","","6","6","374.34","374.34","0","0","6","0","","","","","No"
"Siding","Special Order","NSSO23769","200 LF/Box - 10mm","","3","3","529.74","529.74","0","0","3","0","","","","","No"
"Siding","Special Order","NSSO23909","ATAS BWR360 BELVEDERE 7.2"" RIB - 36"" x 20' Panel","","354","354","354.00","354.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO23914","1194321 625848 1-1/2 TW-S-D12 625848 SFS 1.5304SS 250/box","","20","20","1687.00","1687.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO23924","BKT12x24x3","","1","1","59.03","59.03","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO23956","Front cleat","","8","8","213.20","213.20","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO23964","flashing tape","","8","8","299.60","299.60","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO23985","VersaPin 1-1/2x.100 Knurl Grip PT2000","","2","2","306.40","306.40","0","0","2","0","","","","","No"
"Siding","Special Order","NSSO24058","ULTIMATE CLIP II FOR 5/8""
30 Clips/Box - Includes Joint Tab Attachments","","10","10","2510.60","2510.60","0","0","10","0","","","","","No"
"Siding","Special Order","NSSO24169","1x6x8 T&G Pine","","210","210","2948.40","2948.40","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO24170","1x6x10 T&G Pine","","270","270","4455.00","4455.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO24172","1x6x12 T&G Pine","","330","330","6949.80","6949.80","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO24173","1x6x14 T&G Pine","","390","390","9582.30","9582.30","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO24271","Custom tapered columns 6' height 17-12 taper","","4","4","1044.00","1044.00","0","0","4","0","","","","","No"
"Siding","Special Order","NSSO24423","Plank Connectors W/screws 50/bg","","10","10","476.00","476.00","0","0","10","0","","","","","No"
"Siding","Special Order","NSSO24424","EASY FUR 4""X25' POLY NET FURRING","","720","720","5421.60","5421.60","0","0","720","0","","","","","No"
"Siding","Special Order","NSSO24436","Panel Trim 5/16in 2pc Vertical U","","20","20","484.00","484.00","0","0","20","0","","","","","No"
"Siding","Special Order","NSSO24437","Horizontal Z 5/16 Panel Trim Primed","","120","120","1518.00","1518.00","0","0","120","0","","","","","No"
"Siding","Special Order","NSSO24438","Horizontal Base B 5/16 Panel Trim Primed","","20","20","291.00","291.00","0","0","20","0","","","","","No"
"Siding","Special Order","NSSO24439","Vertical Window Sill General J 5/16","","60","60","771.00","771.00","0","0","60","0","","","","","No"
"Siding","Special Order","NSSO24441","Window Drip Cap 1-3/8in Flashing Primed","","80","80","1344.00","1344.00","0","0","80","0","","","","","No"
"Siding","Special Order","NSSO24442","Trim 11 Ez 2 Piece Vertical U","","20","20","774.00","774.00","0","0","20","0","","","","","No"
"Siding","Special Order","NSSO24444","Inside Corner 3/4 LAP Trim Primed","","10","10","250.50","250.50","0","0","10","0","","","","","No"
"Siding","Special Order","NSSO24445","Trim Inside Corner 5/16in-3/4in","","20","20","451.00","451.00","0","0","20","0","","","","","No"
"Siding","Special Order","NSSO24446","Trim Lap Arrow Outside Corner 3/4in","","40","40","1532.00","1532.00","0","0","40","0","","","","","No"
"Siding","Special Order","NSSO24452","040 Sentriclad Almond | 10' sections (8 sections per sheet)","","60","60","1783.20","1783.20","0","0","60","0","","","","","No"
"Siding","Special Order","NSSO24453","040 Sentriclad Almond | 10' sections (6 sections per sheet)","","30","30","1137.60","1137.60","0","0","30","0","","","","","No"
"Siding","Special Order","NSSO24570","1 EA NETTING (DEBRIS ONLY), PUMP JACK; WERNER","","1","1","284.00","284.00","0","0","1","0","","","","","No"
"Siding","Special Order","NSSO24571","1 EA TILT TRUCK 1/2 CUBIC YARD UTILITY DUTY TOTER","","1","1","655.00","655.00","0","0","1","0","","","","","No"
"Siding","Special Order","NSSO24679","Window Drip Cap 1-3/8in Flashing Primed","","20","20","336.00","336.00","0","0","20","0","","","","","No"
"Siding","Special Order","NSSO24680","Horizontal Z 5/16 Panel Trim Primed","","112","112","1416.80","1416.80","0","0","120","8","","","","","No"
"Siding","Special Order","NSSO24681","Vertical Window Sill General J 5/16","","100","100","1285.00","1285.00","0","0","100","0","","","","","No"
"Siding","Special Order","NSSO24682","Panel Trim 5/16in 2pc Vertical U","","60","60","1566.00","1566.00","0","0","60","0","","","","","No"
"Siding","Special Order","NSSO24683","X Outside Corner 5/16 Panel Trim Primed","","20","20","449.00","449.00","0","0","20","0","","","","","No"
"Siding","Special Order","NSSO24938","NICHIHA ULTIMATE CLIP II FOR 5/8""
(30)","","3","3","810.60","810.60","0","0","3","0","","","","","No"
"Siding","Special Order","NSSO25024","NSSO24775","","1999","1999","169.92","169.92","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO25156","Triangle Louver
8ft .5in x 2ft 2in","","1","1","284.40","284.40","0","0","1","0","","","","","No"
"Siding","Special Order","NSSO25180","1x6x16 T&G","","360","360","9504.00","9504.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO25194","Radius Columns Trims","","21","21","5135.55","5135.55","0","0","21","0","","","","","No"
"Siding","Special Order","NSSO25272","1-3/4"" White Trim Nails","","24","24","6840.48","6840.48","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO25376","12 x 9 Round Tapered fiberglass round columns with tuscan cap and base","","3","3","1160.67","1160.67","0","0","3","0","","","","","No"
"Siding","Special Order","NSSO25442","Tyvek Flashing Tape 4in x 75ft","","60","60","2247.00","2247.00","0","0","60","0","","","","","No"
"Siding","Special Order","NSSO25500","1 3/4” Metabo siding nails

12 Boxes","","33","33","1574.10","1574.10","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO25506","Panel Trim 2pc Square Outside Corner","","20","20","557.00","557.00","0","0","20","0","","","","","No"
"Siding","Special Order","NSSO25540","Horizontal Z 5/16 Panel Trim Primed","","60","60","762.00","762.00","0","0","60","0","","","","","No"
"Siding","Special Order","NSSO25549","metal vent strips","","210","210","1239.00","1239.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO25564","Patriot leveling post Mounting 4""x4""x37"" (Use w/ 4x4 Sleeve) Color Guard","","7","7","340.48","340.48","0","0","7","0","","","","","No"
"Siding","Special Order","NSSO25565","Classic White Vinyl Level Rail Section 4'x36"" Color Guard (20kits/unit)","","2","2","156.16","156.16","0","0","2","0","","","","","No"
"Siding","Special Order","NSSO25566","Classic White Vinyl Level Rail Section 6'x36"" Color Guard (20kits/unit)","","2","2","200.96","200.96","0","0","2","0","","","","","No"
"Siding","Special Order","NSSO25567","Classic White Vinyl Stair Rail Section 6'x36"" Color Guard (20kits/unit)","","2","2","224.00","224.00","0","0","2","0","","","","","No"
"Siding","Special Order","NSSO25568","White Blank Post Sleeve","","7","7","129.92","129.92","0","0","7","0","","","","","No"
"Siding","Special Order","NSSO25569","White Post Collar Trim (2 piece)","","7","7","49.28","49.28","0","0","7","0","","","","","No"
"Siding","Special Order","NSSO25570","White Flat Post Cap","","7","7","18.82","18.82","0","0","7","0","","","","","No"
"Siding","Special Order","NSSO25572","White Blank Post Sleeve","","7","7","129.92","129.92","0","0","7","0","","","","","No"
"Siding","Special Order","NSSO25573","Vinyl Stair Rail Section 6'x36""","","2","2","224.00","224.00","0","0","2","0","","","","","No"
"Siding","Special Order","NSSO25574","Vinyl Level Rail Section 6'x36""","","2","2","200.96","200.96","0","0","2","0","","","","","No"
"Siding","Special Order","NSSO25575","Vinyl Level Rail Section 4'x36""","","2","2","156.16","156.16","0","0","2","0","","","","","No"
"Siding","Special Order","NSSO25576","White Blank Post Sleeve","","6","6","111.36","111.36","0","0","6","0","","","","","No"
"Siding","Special Order","NSSO25577","Vinyl Level Rail Section 6'x36""","","2","2","200.96","200.96","0","0","2","0","","","","","No"
"Siding","Special Order","NSSO25578","Vinyl Level Rail Section 4'x36""","","2","2","140.16","140.16","0","0","2","0","","","","","No"
"Siding","Special Order","NSSO25601","Greenguard Seam Tape 2-7/8in X 55yd","","21","21","466.20","466.20","0","0","21","0","","","","","No"
"Siding","Special Order","NSSO25709","6"" White Flat Vinyl Post Caps","","2","2","13.44","13.44","0","0","2","0","","","","","No"
"Siding","Special Order","NSSO25719","Horizontal Z 5/16 Panel Trim Primed","","20","20","254.00","254.00","0","0","20","0","","","","","No"
"Siding","Special Order","NSSO25737","1194321 625848 1-1/2 TW-S-D12","","5","5","461.00","461.00","0","0","5","0","","","","","No"
"Siding","Special Order","NSSO25776","040 SCRAP - PRIME SIDE AS FINISH SIDE 10' SECTIONS (12 SECTIONS PER SHEET)","","500","500","4250.00","4250.00","0","0","500","0","","","","","No"
"Siding","Special Order","NSSO25785","JEL778","","25","25","7641.25","7641.25","0","0","25","0","","","","","No"
"Siding","Special Order","NSSO25786","FHK1015","","10","10","801.00","801.00","0","0","10","0","","","","","No"
"Siding","Special Order","NSSO25814","EZ 7","","60","60","1566.00","1566.00","0","0","60","0","","","","","No"
"Siding","Special Order","NSSO25815","EZ 4","","20","20","254.00","254.00","0","0","20","0","","","","","No"
"Siding","Special Order","NSSO25833","10” tapered fiberglass column","","1","1","0.01","0.01","0","0","1","0","","","","","No"
"Siding","Special Order","NSSO25834","split kit for fiberglass column","","1","1","85.91","85.91","0","0","1","0","","","","","No"
"Siding","Special Order","NSSO25835","10” base and cap for round tapered column","","1","1","0.01","0.01","0","0","1","0","","","","","No"
"Siding","Special Order","NSSO25840","Woodsman Select 5"" Dutchlap","","1","1","7.75","7.75","0","0","1","0","","","","","No"
"Siding","Special Order","NSSO25856","DOW 3""X48""X96"" SCOREBOARD","","36","36","2822.40","2822.40","0","0","36","0","","","","","No"
"Siding","Special Order","NSSO25858","DOW 3""X48""X96"" SCOREBOARD","","25","25","1960.00","1960.00","0","0","25","0","","","","","No"
"Siding","Special Order","NSSO25859","DOW 3""X48""X96"" SCOREBOARD","","25","25","1960.00","1960.00","0","0","25","0","","","","","No"
"Siding","Special Order","NSSO25860","DOW 1.5""X48""X96"" SCOREBOARD","","23","23","969.45","969.45","0","0","23","0","","","","","No"
"Siding","Special Order","NSSO25863","Brad 2in Leg 16ga EG Chisel Spotnails","","10","10","60.50","60.50","0","0","10","0","","","","","No"
"Siding","Special Order","NSSO25864","Nail 1-3/4in X .092 15deg Ring Eg","","3","3","205.05","205.05","0","0","3","0","","","","","No"
"Siding","Special Order","NSSO25900","EZ 1","","20","20","456.00","456.00","0","0","20","0","","","","","No"
"Siding","Special Order","NSSO25901","EZ 4","","140","140","1778.00","1778.00","0","0","140","0","","","","","No"
"Siding","Special Order","NSSO25902","EZ 7","","200","200","5280.00","5280.00","0","0","200","0","","","","","No"
"Siding","Special Order","NSSO25903","EZ 3","","40","40","782.00","782.00","0","0","60","20","","","","","No"
"Siding","Special Order","NSSO25904","EZ 8","","80","80","1020.00","1020.00","0","0","80","0","","","","","No"
"Siding","Special Order","NSSO25905","1 set of cap and base for 8"" column","","1","1","0.01","0.01","0","0","1","0","","","","","No"
"Siding","Special Order","NSSO25906","1 Set of cap and base for 10"" column","","1","1","0.01","0.01","0","0","1","0","","","","","No"
"Siding","Special Order","NSSO25907","EZ 4","","120","120","1524.00","1524.00","0","0","120","0","","","","","No"
"Siding","Special Order","NSSO25952","FinishPin 3x0.100 14ga T Head E-Galv","","2","2","162.70","162.70","0","0","2","0","","","","","No"
"Siding","Special Order","NSSO25953","Tyvek Flashing Tape 4in x 75ft","","48","48","1797.60","1797.60","0","0","48","0","","","","","No"
"Siding","Special Order","NSSO25954","Nail 2-1/2in 16ga Eg Dia Interchange","","20","20","198.00","198.00","0","0","20","0","","","","","No"
"Siding","","PVCBMNS","180 PVC BRICKMOULD","","153","153","0.00","0.00","0","0","0","11","","","","","Yes"
"Siding","","VBCNS","PVC BASE CAP","","1","1","0.00","0.00","0","0","9","115","","","","","Yes"
"Siding","","VDC","STOCK ONLY #188 VINYL DRIP CAP","","77","77","554.40","554.40","0","0","0","2","","","","","Yes"
"Allura","Trim","ALCM1412S","Allura Spectrum (Colormax) 1x4x12 Smooth
","4/4"","136","136","0.00","0.00","0","0","1051","784","","","","","Yes"
"Allura","Trim","ALCM1612S","Allura Spectrum (Colormax)  1x6x12 Smooth
","4/4"","13","13","0.00","0.00","0","0","29","18","","","","","Yes"
"Allura","Trim","ALCM54812S","Allura Spectrum (Colormax) 5/4x8x12 Smooth
","5/4"","8","8","0.00","0.00","0","0","122","82","","","","","Yes"
"Allura","Soffit","ALCM24SSS","Allura Spectrum (Colormax) 24 Solid Soffit Smooth
","Smooth","3","3","0.00","0.00","0","0","15","8","","","","","Yes"
"Allura","Paint Kits","ALCMTUKIT","Allura Spectrum (Colormax) Paint Touch-Up Kit","","23","23","0.00","0.00","0","0","355","230","","","","","Yes"
"Allura","Soffit","ALCM12VSS","Allura Spectrum (Colormax) 12 Vented Soffit Smooth
","Smooth","135","135","0.00","0.00","0","0","352","151","","","","","Yes"
"Allura","Lap Siding","814ALSCM","Allura Spectrum (Colormax) 8-1/4 Cedarmill Lap Siding
","Textured","3491","3491","0.00","0.00","0","0","11206","8331","","","","","Yes"
"Allura","Soffit","ALSSOF2412SP","Allura Solid Soffit 24x12 Smooth Primed
","","1","1","0.00","0.00","0","0","0","0","","","","","Yes"
"Allura","Trim","ALT11212P","Allura Trim 1x12x12 Primed","4/4"","16","16","0.00","0.00","0","0","0","0","","","","","Yes"
"Allura","Trim","ALT54612P","Allura Trim 5/4x6x12 Primed","5/4"","88","88","0.00","0.00","0","0","0","0","","","","","Yes"
"Allura","Trim","ALT54812P","Allura Trim 5/4x8x12 Primed","5/4"","360","360","0.00","0.00","0","0","0","0","","","","","Yes"
"Alside","Board & Batten","ALBNBS","Alside Board and Batten Vertical Vinyl Siding Standard Colors","","403","403","0.00","0.00","0","0","6851","6054","","","","","Yes"
"Alside","Trim","ASFTA","Ascend Finish Trim All Colors","","29","29","0.00","0.00","0","0","0","0","","","","","Yes"
"Alside","Lap Siding","COAKD45A","Charter Oak D4.5 Straight Lap Architectural Colors
","0.046"","5431","5431","0.00","0.00","0","0","8750","4886","","","","","Yes"
"Alside","Lap Siding","COAKD45S","Charter Oak D4.5 Straight Lap Standard Colors","0.046"","2067","2067","0.00","0.00","0","0","6619","6930","","","","","Yes"
"Alside","Lap Siding","CONSD45CS","Conquest Vinyl Siding .040 D4.5 Straight Clapboard Standard Colors","0.040"","2717","2717","0.00","0.00","0","0","18548","17285","","","","","No"
"Alside","Trim","6DOSCPS","Alside 6in Designer Outside Corner Post 20ft Length Standard Colors
","","9","9","0.00","0.00","0","0","16","4","","","","","Yes"
"Alside","Soffit","ECSSD5A","Alside D5 Economy Vinyl Solid Soffit Architectural Colors","","13","13","0.00","0.00","0","0","18","0","","","","","Yes"
"Alside","Trim","FINISHTRIMA","Alside Finish Trim Architectural Colors
","Finish Trim","200","200","0.00","0.00","0","0","1532","1297","","","","","Yes"
"Alside","Trim","34ISCPA","Alside 3/4in Inside Corner Post Architectural Colors
","ISCP","9","9","0.00","0.00","0","0","52","43","","","","","Yes"
"Alside","Trim","34ISCPS","Alside 3/4in Inside Corner Post Standard Colors
","ISCP","21","21","0.00","0.00","0","0","513","627","","","","","Yes"
"Alside","Trim","34JA","Alside 3/4in J Channel 1in Face Architectural Colors
","J-channel","1228","1228","0.00","0.00","0","0","5284","4581","","","","","Yes"
"Alside","Trim","34JS","Alside 3/4in J Channel 1in Face Standard Colors
","J-channel","4857","4857","0.00","0.00","0","0","21977","20418","","","","","Yes"
"Alside","Trim","5LINS","Alside 5in Lineal 20ft Standard Colors
","","85","85","0.00","0.00","0","0","846","684","","","","","Yes"
"Alside","Trim","35LINS","Alside 3.5 Lineal 20ft Standard Colors
","Lineal","227","227","0.00","0.00","0","0","1211","1037","","","","","Yes"
"Alside","Lap Siding","ODYD5A","Odyssey Plus Double 5 (D5) Straight / Clapboard Architectural Colors","0.044"","577","577","0.00","0.00","0","0","373","114","","","","","Yes"
"Alside","Lap Siding","ODYD5DUTS","Odyssey Plus Double 5 (D5) Dutch Lap Standard Colors","0.044"","240","240","0.00","0.00","0","0","20","0","","","","","Yes"
"Alside","Trim","4OSCPS","Alside 4in Outside Corner Post Standard Colors
","","56","56","0.00","0.00","0","0","192","136","","","","","Yes"
"Alside","Accessories","STKPVCTXTCOIL","STOCK ONLY PVC Textured Coil White
","","48","48","5177.76","5177.76","0","0","29","70","","","","","Yes"
"Certainteed","Board & Batten","CTBNB810S","CertainTeed Board & Batten 8inx10ft Standard Colors
","","37","37","0.00","0.00","0","0","464","381","","","","","Yes"
"Certainteed","Trim","CTJCHAN34126S","CertainTeed 3/4 J Channel 12ft 6in Standard Colors
","J-channel","22","22","0.00","0.00","0","0","130","121","","","","","Yes"
"Certainteed","Trim","CT12JCS","Certainteed 1/2 J-Channel Standard Colors","","262","262","0.00","0.00","0","0","2503","2955","","","","","Yes"
"Certainteed","Trim","CTLINE31220MS","CertainTeed 3-1/2 Lineal Matte 20ft Standard Colors
","Lineal","19","19","0.00","0.00","0","0","54","35","","","","","Yes"
"Certainteed","Shakes","CTSHIMPRSTRTD7S","CertainTeed Cedar Impressions D7 Straight Shake Standard Colors","Straight","77","77","0.00","0.00","0","0","684","764","","","","","Yes"
"Certainteed","Lap Siding","CTSMAINWGD5DLS","CertainTeed Siding Mainstreet WG D5DL Standard Colors","0.042"","703","703","0.00","0.00","0","0","7671","9458","","","","","Yes"
"Certainteed","Soffit","CTSSOFFVALUD5S","CertainTeed Value Soffit D5 Solid Standard Colors","Solid","109","109","0.00","0.00","0","0","1134","1282","","","","","Yes"
"Certainteed","Soffit","CTSSOFFVALUD5W","CertainTeed Value Soffit D5 Solid White","Solid","7","7","0.00","0.00","0","0","30","42","","","","","Yes"
"Certainteed","Soffit","CTSSOFFVALUT4W","CertainTeed Value Soffit T4 Solid White","Solid","3","3","0.00","0.00","0","0","0","0","","","","","Yes"
"Certainteed","Soffit","CTVSOFFVALUD5S","CertainTeed Value Soffit D5 Vented Standard Colors","Vented","137","137","0.00","0.00","0","0","1205","1467","","","","","Yes"
"Certainteed","Soffit","CTVSOFFVALUT4W","CertainTeed Value Soffit T4 Vented White","Vented","5","5","0.00","0.00","0","0","0","0","","","","","Yes"
"Color Guard","Post Sleeves","CGBLAPB43","Color Guard 3inx3inx43in Black Lincoln Aluminum Post w/Cap and Base
","","1","1","0.00","0.00","0","0","0","0","","","","","Yes"
"Color Guard","Post Sleeves","CGPC44","Color Guard 4in x 4in Post Collar White","","15","15","0.00","0.00","0","0","30","5","","","","","Yes"
"Color Guard","Post Sleeves","CGPMBKT","Color Guard Post Mounting Bracket","","21","21","0.00","0.00","0","0","37","10","","","","","Yes"
"Color Guard","Post Sleeves","CGPS4438","Color Guard 4x4x38in Post Sleeve White","","2","2","0.00","0.00","0","0","6","0","","","","","Yes"
"Color Guard","Post Sleeves","CGPS4444","COLOR GUARD 4X4X44 POST SLEEVE BLANK WHITE","","5","5","0.00","0.00","0","0","5","1","","","","","Yes"
"Color Guard","Post Sleeves","CGPSLV44BW","Color Guard 44in Blank Post White
","","6","6","0.00","0.00","0","0","6","1","","","","","Yes"
"Color Guard","Railing Systems","CGRAIL364CLB","Color Guard 36inx4ft Classic Series Straight Rail Section w/Brackets White
","","1","1","0.00","0.00","0","0","2","2","","","","","Yes"
"Color Guard","Railing Systems","CGRAIL366CLB","Color Guard 36inx6ft Classic Series Straight Rail Section w/Brackets White
","","2","2","0.00","0.00","0","0","5","3","","","","","Yes"
"Color Guard","Railing Systems","CGRAIL366CSTB","Color Guard 36inx6ft Classic Series Stair Rail Section w/Brackets White
","","1","1","0.00","0.00","0","0","2","0","","","","","Yes"
"Color Guard","Railing Systems","CG4X4WFPC","Color Guard 4x4 White Flat Post Cap","","16","16","0.00","0.00","0","0","31","4","","","","","Yes"
"Color Guard","Accessories","6610COLORGUARDW","STOCK ONLY 6x6x10 Colorguard Smooth Vinyl Post Wrap White","","35","35","2391.20","2391.20","0","0","21","27","","","","","Yes"
"Color Guard","Accessories","STK4410COLORGUARDW","STOCK ONLY 4x4x10 Colorguard Smooth Vinyl Post Wrap White","Post Sleeve","105","105","0.00","0.00","0","0","0","24","","","","","Yes"
"Fasteners & Sealants","Accessories","A23","STOCK ONLY Simpson A23 Anchor Bracket","","18","18","15.84","15.84","0","0","0","0","","","","","Yes"
"Fasteners & Sealants","Accessories","ABU44Z","STOCK ONLY ABU44Z Adjustable Post Base for 4x4
","","46","46","0.00","0.00","0","0","0","0","","","","","Yes"
"Fasteners & Sealants","Accessories","BC4","STOCK ONLY BC4 Simpson Post Cap
","","27","27","0.00","0.00","0","0","0","0","","","","","Yes"
"Fasteners & Sealants","Accessories","BUTYLTAPE4","OX TITAN BUTYL WINDOW FLASHING TAPE 4IN X 75FT","","6","6","0.00","0.00","0","0","6","0","","","","","Yes"
"Fasteners & Sealants","Accessories","BUTYLTAPE6","STOCK ONLY DUPONT 6IN BUTYL TAPE","","179","179","7403.44","7403.44","0","0","77","0","","","","","Yes"
"Fasteners & Sealants","Caulking","OSIQD","OSI Quad","","1045","1045","0.00","0.00","0","0","1958","1156","","","","","Yes"
"Fasteners & Sealants","Nails","2ROOFNAIL30","2in Roofing Nails 30#
","","80","80","0.00","0.00","0","0","411","351","","","","","Yes"
"Fasteners & Sealants","Nails","2ROOFNAIL50","2in Galvanized Roofing Nails 50#
","","132","132","0.00","0.00","0","0","47","50","","","","","Yes"
"Fasteners & Sealants","Nails","134ROOFNAIL50","1-3/4in Galvanized Roofing Nails 50#
","","1","1","0.00","0.00","0","0","5","4","","","","","Yes"
"Fasteners & Sealants","Nails","3ROOFNAIL30NS","3in Galvanized Roofing Nails 30# bucket","","6","6","0.00","0.00","0","0","13","7","","","","","Yes"
"Fasteners & Sealants","Accessories","TYVEKTAPE2","Dupont TyvekTape 2x55ft
","","1","1","0.00","0.00","0","0","0","0","","","","","Yes"
"Fasteners & Sealants","Accessories","WA50414","STOCK ONLY 1/2X4-1/2 Wedge Anchor
","","42","42","0.00","0.00","0","0","0","0","","","","","Yes"
"Fypon","Brackets","BKT8X6","FYPON BRACKET OGEE 8X6X4 SMOOTH","","3","3","0.00","0.00","0","0","3","3","","","","","Yes"
"Fypon","Brackets","BKT9X11","STOCK ONLY FYPON BRACKET 11HX3-1/2WX9 PROJECTION
","","37","37","1275.02","1275.02","0","0","139","0","","","","","Yes"
"Fypon","Brackets","BKT11X20","FYPON BRACKET POST 20HX3-1/8WX11 PROJECTION
","","16","16","0.00","0.00","0","0","9","0","","","","","Yes"
"Fypon","Brackets","BKT12X16","STOCK ONLY FYPON BRACKET 16HX3WX11-1/2 PROJECTION","","68","68","2301.80","2301.80","0","0","119","12","","","","","Yes"
"Fypon","Brackets","BKT14X14","STOCK ONLY FYPON BRACKET ANGLE 13-1/2HX3-1/2WX13-1/2 PROJECTION","","77","77","2095.94","2095.94","0","0","229","0","","","","","Yes"
"Fypon","Brackets","BKT16X16","FYPON BRACKET 15-7/8HX2WX15-7/8 PROJECTION
","","6","6","0.00","0.00","0","0","6","0","","","","","Yes"
"Fypon","Brackets","BKT17X17","FYPON BRACKET 16-1/2X16-1/2X3-1/2 SMOOTH","","18","18","0.00","0.00","0","0","18","15","","","","","Yes"
"Fypon","Brackets","BKT22X22","BRACKET 11-1/4X10X9-15/16 SMOOTH","","2","2","0.00","0.00","0","0","0","2","","","","","Yes"
"Fypon","Brackets","BKT12X12NS","BRACKET 11-1/2X12-1/4X1 SMOOTH","","5","5","0.00","0.00","0","0","5","0","","","","","Yes"
"Fypon","Brackets","BKT12X16NS","FYPON BRACKET 16HX3WX11-1/2 PROJECTION
","","20","20","0.00","0.00","0","0","22","0","","","","","Yes"
"Fypon","Brackets","BKT10X10X9","STOCK ONLY FYPON BRACKET 10HX9-1/8WX10 PROJECTION
","","27","27","998.46","998.46","0","0","0","0","","","","","Yes"
"Fypon","Brackets","BKT10X16X4","STOCK ONLY FYPON BRACKET 9-7/8X16X4-7/16 SMOOTH","","100","100","6648.00","6648.00","0","0","10","25","","","","","Yes"
"Fypon","Brackets","BKT12X12X4","STOCK ONLY FYPON BRACKET 12HX3-1/2WX12 PROJECTION","","41","41","1999.16","1999.16","0","0","8","3","","","","","Yes"
"Fypon","Brackets","BKT15X18X6","POST BRACKET 15X18X6 SMOOTH","","2","2","0.00","0.00","0","0","0","0","","","","","Yes"
"Fypon","Brackets","BKT20X30X6","FYPON BRACKET 30HX5-1/2WX20 PROJECTION
","","3","3","0.00","0.00","0","0","0","0","","","","","Yes"
"Fypon","Brackets","BKT12X12X4NS","FYPON BRACKET 12HX3-1/2WX12 PROJECTION
","","1","1","0.00","0.00","0","0","4","3","","","","","Yes"
"Fypon","Brackets","BKT18X18X3X1S","BRACKET 18X18X3-1/2 WOOD GRAIN","","2","2","0.00","0.00","0","0","0","0","","","","","Yes"
"Fypon","Vents","CLV22X31","FYPON CATHEDRAL LOUVER DECO 22X31-1/2X2 SMOOTH","","2","2","0.00","0.00","0","0","0","0","","","","","Yes"
"Fypon","Corbels","COR7X11S","TIMBER CORBEL WOODGRAIN 11-3/8HX7WX7-3/8 PROJECTION
","","18","18","0.00","0.00","0","0","38","19","","","","","Yes"
"Fypon","Corbels","COR8X8X6S","FYPON CORBEL 8X8X6 WOODGRAIN","","14","14","0.00","0.00","0","0","22","7","","","","","Yes"
"Fypon","Corbels","COR24X8X6S","CORBEL 24X8X6 WOOD GRAIN","","22","22","0.00","0.00","0","0","22","11","","","","","Yes"
"Fypon","Dentil Blocks","DTLB3X3X3","FYPON DENTIL BLOCK 3-7/16X3-1/2X3-1/2 SMOOTH","","12","12","0.00","0.00","0","0","0","6","","","","","Yes"
"Fypon","Dentil Blocks","DTLB5X5X3","FYPON DENTIL BLOCK 5-1/2HX3-1/2WX5-1/2 PROJECTION
","","9","9","0.00","0.00","0","0","17","32","","","","","Yes"
"Fypon","Dentil Blocks","DTLB5X6X6","DENTIL BLOCK 5X6X6 SMOOTH","","6","6","0.00","0.00","0","0","3","3","","","","","Yes"
"Fypon","Dentil Blocks","DTLB5X6X8","FYPON DENTIL BLOCK 5HX6WX8-1/2 PROJECTION
","","26","26","0.00","0.00","0","0","12","10","","","","","Yes"
